,SwisNo,UnitNo,SiteName,CountyID,County,Operator,Location,PlaceName,Zip,EnforAgent,Owner,Category,Activity,RegStatus,OpStatus,Latitude,Longitude,SiteID,UnitID
1388,33-AA-0221,1,Idyllwild Transfer Station,33,Riverside,Waste Mngmnt. Collections and Recycling,28100 Saunders Meadow Road,Idyllwild                               ,92549,County of Riverside,County Of Riverside Waste Mgmt Dept,Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,33.72532,-116.71823,2970,3002
1389,36-AA-0456,1,IEUA RP-5 SHF/REEP FWAD,36,San Bernardino,"Environ Strategy Consultants, Inc.",16090 Mountain Ave.,Chino                                   ,91710,County of San Bernardino                ,Inland Empire Utility Agency,Composting,Composting Operation (Research)    ,Notification                       ,Active,33.96132,-117.667,11039,11550
1393,13-AA-0019,1,Imperial Landfill,13,Imperial,"Imperial Landfill, Inc.",104 East Robinson Road,Imperial                                ,92251,County of Imperial,"Imperial Landfill, Inc.",Disposal,Solid Waste Landfill,Permitted                          ,Active,32.8581,-115.52332,802,811
1394,13-AA-0001,1,Imperial Solid Waste Site,13,Imperial,County Of Imperial Public Works,1705 West Worthington Rd.,Imperial                                ,92251,County of Imperial,County Of Imperial Public Works,Disposal,Solid Waste Landfill,Permitted                          ,Active,32.84552,-115.68111999999999,789,798
1395,39-AA-0054,1,Imperial Western Products,39,San Joaquin,Imperial Western Products,20500 S. Holly Dr.,Tracy                                   ,95304,County of San Joaquin,"Holly Commerce Center, LLC",Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,37.77019,-121.42371999999999,11225,11783
1396,33-AA-0302,1,"Imperial Western Products, Inc.",33,Riverside,Imperial Western Products,86-600 Avenue 54,Coachella                               ,92236,County of Riverside,Desert Cotton Seed,Composting,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active,33.657340000000005,-116.15526000000001,10508,10767
1397,14-AA-0004,1,Independence Landfill,14,Inyo,County of Inyo Integrated Waste Mgt.,End 0f Dump Road,Independence                            ,93526,County of Inyo                          ,City Of Los Angeles Dept Water & Power,Disposal,Solid Waste Landfill,Permitted                          ,Active,36.7884,-118.17586000000001,875,884
1398,01-AA-0312,1,Independent Recycling Services LLC,1,Alameda,Independent Recycling Services LLC,9039 San Leandro St.,Oakland                                 ,94603,County of Alameda,Arthur Chan,Transfer/Processing,Small Vol CDI Debris Proc. Operation,Notification                       ,Active,37.74327,-122.18659,11333,11928
1405,36-AA-0423,1,Inland Empire Regional Composting Fac.,36,San Bernardino,Inland Empire Regional Composting Fac.,12645 Sixth Street,Rancho Cucamonga                        ,91730,County of San Bernardino                ,Inland Empire Regional Composting Fac.,Composting,Biosolids Composting at POTWs,Notification                       ,Active,34.08668,-117.52741,10418,10643
1406,37-AA-0957,1,Inland Pacific R.R. Slaughterhouse Yard,37,San Diego,Inland Pacific Resource Recovery,12650 Slaughterhouse Can. Rd. Highway 67,Lakeside                                ,92040,County of San Diego                     ,Hanson Aggregates PSW,Composting,Chipping and Grinding Activity Fac./ Op.,Permitted                          ,Active,32.90806,-116.95111999999999,10605,10905
1407,37-AA-0960,1,Inland Pacific Resource Recovery Hwy 67,37,San Diego,Inland Pacific Resource Recovery,12243 Highway 67,Lakeside                                ,92040,County of San Diego                     ,"Ferrell, Dana",Composting,Chipping and Grinding Activity Fac./ Op.,Permitted                          ,Active,32.903,-116.93700000000001,10722,11112
1408,36-AA-0412,1,Inland Regional MRF & TS,36,San Bernardino,"Republic Waste Services of So. CA, LLC",2059 East Steel Road,Colton                                  ,92324,County of San Bernardino                ,"Republic Waste Services of So. CA, LLC",Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,34.06208,-117.29364,3465,3507
1409,19-DE-0001,1,Innovative Waste Control,19,Los Angeles,Consolidated Disposal Services L.L.C.   ,4133 Bandini Boulevard,Vernon                                  ,90023,City of Vernon                          ,Consolidated Disposal Services L.L.C.   ,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,34.004,-118.19,2033,2064
1423,15-AA-0397,1,J.S. Martin Transfer Station,15,Kern,"JS Martin, Inc.",1316 J. Street,Wasco                                   ,93280,County of Kern,John Martin Trust,Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,35.58777,-119.32991000000001,11123,11657
1424,51-AA-0007,1,"Jack L. Spence, Inc. Compost Facility",51,Sutter,"Jack L. Spence, Inc.",1601 Southridge Blvd.,Sutter                                  ,95982,County of Yuba,John Ochipinti,Composting,Composting Operation (Ag),Notification                       ,Active,39.150909999999996,-121.79373999999999,11238,11801
1431,10-AA-0171,1,Jefferson Avenue Transfer Station,10,Fresno,USA Waste,5608 Villa Avenue,Fresno                                  ,93725,County of Fresno                        ,USA Waste,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,36.65453,-119.7125,448,457
1432,10-AA-0172,1,Jefferson Inert Debris ENG Fill Op,10,Fresno,"Kroeker, Inc.",5550 S. Maple Avenue,Fresno                                  ,93725,County of Fresno                        ,"Kroeker, Inc.",Disposal,Inert Debris ENG Fill Operation,Notification                       ,Active,36.65552,-119.7435,449,458
1433,48-AA-0083,1,Jepson Prairie Organics Composting Fac,48,Solano,Jepson Prairie Organics Composting Fac.,6426 Hay Road,Vacaville                               ,95687,County of Solano,Jepson Prairie Organics Composting Fac.,Composting,Composting Facility (Mixed)        ,Permitted                          ,Active,38.31361,-121.8372,4589,4664
1435,01-AA-0272,1,Jess Ranch Sewage Sludge Landspreading,1,Alameda,Future-Tech Environmental Services      ,I-580 And Grant Line Road,Livermore                               ,94550,County of Alameda,Future-Tech Environmental Services      ,Disposal,Land Application                   ,Exempt                             ,Active,37.737840000000006,-121.59388999999999,17,18
1436,33-CR-0068,1,Jim Neuberger,33,Riverside,Jim Neuberger,31655 Northwood Rd.,Indio                                   ,92241,County of Riverside,Jim Neuberger,Disposal,Solid Waste Disposal Site          ,Unpermitted                        ,Active,33.819759999999995,-116.22796000000001,11357,11958
1440,50-AA-0029,1,John Brichetto Compost Site A,50,Stanislaus,John Brichetto,Hinds Road west of 26 Mile Road,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.82608,-120.87383,10961,11463
1441,50-AA-0030,1,John Brichetto Compost Site B,50,Stanislaus,John Brichetto,26 Mile Rd. west of Mettler Road,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.818740000000005,-120.87528999999999,10962,11464
1442,50-AA-0031,1,John Brichetto Compost Site C,50,Stanislaus,John Brichetto,26 Mile Rd. S/W of Mettler Road,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.81357,-120.87532,10963,11465
1443,50-AA-0032,1,John Brichetto Compost Site D,50,Stanislaus,John Brichetto,26 Mile Rd. - 1/2 mile south of Mettler,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.81053,-120.87433999999999,10964,11466
1444,50-AA-0033,1,John Brichetto Compost Site E,50,Stanislaus,John Brichetto,Gilbert Rd. E of Valley Home &26 Mile Rd,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.7919,-120.8598,10965,11467
1445,50-AA-0034,1,John Brichetto Compost Site F,50,Stanislaus,John Brichetto,Valk Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.7211,-120.83488,10966,11468
1446,50-AA-0035,1,John Brichetto Compost Site G,50,Stanislaus,John Brichetto,N Crane Rd. & Brady Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.76703,-120.88385,10967,11470
1447,50-AA-0036,1,John Brichetto Compost Site H,50,Stanislaus,John Brichetto,N Crane Rd. & Brady Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.76427,-120.87871000000001,10968,11471
1448,50-AA-0037,1,John Brichetto Compost Site I,50,Stanislaus,John Brichetto,N Crane Rd. & Brady Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.76415,-120.86918999999999,10969,11472
1449,50-AA-0038,1,John Brichetto Compost Site J,50,Stanislaus,John Brichetto,Crow Rd. & Claribel Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.70093,-120.78692,10970,11473
1450,50-AA-0039,1,John Brichetto Compost Site K,50,Stanislaus,John Brichetto,Kauffman Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.743,-120.85098,10971,11474
1451,50-AA-0040,1,John Brichetto Compost Site L,50,Stanislaus,John Brichetto,Brichetto Ave. & Kaufman Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.74168,-120.84858999999999,10972,11475
1452,50-AA-0041,1,John Brichetto Compost Site M,50,Stanislaus,John Brichetto,Patterson Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.72965,-120.87881999999999,10973,11476
1453,50-AA-0042,1,John Brichetto Compost Site N,50,Stanislaus,John Brichetto,Bentlley Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.72306,-120.87626000000002,10974,11477
1454,50-AA-0043,1,John Brichetto Compost Site O,50,Stanislaus,John Brichetto,Bentley Rd.,Oakdale                                 ,95361,CalRecycle Enforcement Agency,John Brichetto,Composting,Composting Operation (Ag),Notification                       ,Active,37.7216,-120.86061000000001,10975,11478
1455,35-AA-0001,1,John Smith Road Landfill,35,San Benito,"Waste Solutions Group of San Benito, LLC",2650 John Smith Road,Hollister                               ,95023,CalRecycle Enforcement Agency,Cty of San Benito Integrated W. Mgt Dept,Disposal,Solid Waste Landfill,Permitted                          ,Active,36.82476,-121.32316000000002,3268,3307
1457,27-AA-0122,1,Johnson Canyon Landfill Compost,27,Monterey,Vision Recycling,31400 Johnson Canyon Rd.,Gonzales                                ,93926,County of Monterey                      ,Salinas Valley Solid Waste Authority,Composting,Composting Operation (Green Waste) ,Notification                       ,Active,36.31592,-121.24219,11394,12002
1458,27-AA-0005,1,Johnson Canyon Sanitary Landfill,27,Monterey,Salinas Valley Solid Waste Authority,31400 Johnson Canyon Road,Gonzales                                ,93926,County of Monterey                      ,Salinas Valley Solid Waste Authority,Disposal,Solid Waste Landfill,Permitted                          ,Active,36.53167,-121.40666999999999,2481,2513
1461,27-AA-0115,1,Jolon Road Transfer Station,27,Monterey,"USA Waste of California, Inc.",52654 Jolon Road,King City                               ,93930,County of Monterey                      ,Salinas Valley Solid Waste Authority,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,36.15988,-121.1408,10773,11198
1462,28-AA-0037,1,Joseph Phelps Vineyards,28,Napa,"Phelps, Joseph",200 Taplin Road,Saint Helena                            ,94574,County of Napa,"Phelps, Joseph",Composting,Composting Operation (Ag),Notification                       ,Active,38.50202,-122.42783,10231,10345
1468,53-AA-0021,1,Junction City Transfer Site,53,Trinity,County Of Trinity,"County Road #416, Junction City Dump",Junction City                           ,96048,County of Trinity,County Of Trinity,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,40.7277,-123.04956999999999,4923,5006
1485,37-AB-0023,1,Kearny Mesa LVTO,37,San Diego,California Department of Transportation,7181 Opportunity Rd.,San Diego                               ,92111,City of San Diego                       ,California Department of Transportation,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,32.82532,-117.16176000000002,11088,11615
1487,14-AA-0026,1,Keeler Transfer Station,14,Inyo,County of Inyo Integrated Waste Mgt.,End Of Old State Hwy 1 Mi West Of Keeler,Keeler                                  ,93545,County of Inyo                          ,City Of Los Angeles Dept Water & Power,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,36.49349,-117.88321,895,904
1489,15-AA-0054,1,Keene Transfer Station,15,Kern,County of Kern Waste Management Dept.,29592 Woodford-Tehachapi Rd,Keene (See Woodford)                    ,93531,County of Kern,County of Kern Waste Management Dept.,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,35.21953,-118.55781999999999,931,940
1490,07-AA-0032,1,Keller Canyon Landfill,7,Contra Costa,Keller Canyon Landfill,901 Bailey Road,Pittsburg                               ,94565,County of Contra Costa,Keller Canyon Landfill Company,Disposal,Solid Waste Landfill,Permitted                          ,Active,37.99763,-121.93623000000001,274,278
1496,24-AA-0040,1,Ken Stone #3,24,Merced,Kenneth Stone and Family Spread Services,7333 Ave.,Merced                                  ,95340,County of Merced,Thiara Orchids,Composting,Composting Operation (Ag),Notification                       ,Active,37.28796,-120.3695,11193,11735
1500,54-AA-0031,1,Kennedy Meadows Transfer Station,54,Tulare,Tulare County,Goman Road West Of M-152 Station,Johnsondale                             ,93207,County of Tulare                        ,County Of Tulare Fire Department        ,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,35.991,-118.105,4960,5043
1501,24-AA-0024,1,Kenneth Stone & Family Spreading Service,24,Merced,Stone Family                            ,W. Of Lupin Ave& 1/4 Mile N. Of Palm Ave,Winton                                  ,95388,County of Merced,Kenneth Stone & Family Spreading Service,Composting,Composting Operation (Ag),Notification                       ,Active,37.11722,-120.52139,2366,2398
1508,15-AA-0314,1,Kern Valley Recycling/Transfer Station,15,Kern,County of Kern Waste Management Dept.,9800 Sierra Way,Kernville                               ,93238,County of Kern,County of Kern Waste Management Dept.,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,35.70985,-118.41231,990,1002
1510,12-AA-0112,1,Kernen Construction aka Glendale Yard,12,Humboldt,"Kernen Construction, Scott Farley",2350 Glendale Drive,Blue Lake                               ,95525,County of Humboldt,"Bedrock Investements, LLC.",Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,40.88582,-123.99399,10039,10059
1514,16-AA-0023,1,Kettleman Hills - B18 Nonhaz Codisposal,16,Kings,"Chemical Waste Management, Inc.",35251 Old Skyline Road,Kettleman City                          ,93239,County of Kings                         ,"Waste Management, Inc.",Disposal,Industrial Waste Codisposal Facility,Permitted                          ,Active,35.95619,-120.00855,1233,1247
1519,43-AN-0008,1,Kirby Canyon Recycl.& Disp. Facility,43,Santa Clara,Kirby Canyon Recycling and Disposal Fac.,910 Coyote Creek Golf Drive,Coyote (In San Jose)                    ,95037,City of San Jose                        ,Kirby Canyon Recycling and Disposal Fac.,Disposal,Solid Waste Landfill,Permitted                          ,Active,37.18507,-121.67108999999999,4348,4411
1520,02-AA-0009,1,Kirkwood Transfer Station,2,Alpine,Kirkwood Meadows Pud                    ,40 Loop Road,Kirkwood                                ,95646,County of Alpine,Kirkwood Meadows Pud                    ,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,38.69003,-120.07189,88,90
1522,08-AA-0002,1,Klamath Transfer Station,8,Del Norte,Del Norte Solid Waste Mgmt. Auth.,End Of Dump Rd. Off Klamath Beach Road,Klamath                                 ,95548,County of Del Norte,Del Norte Solid Waste Mgmt. Auth.,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,41.51167,-124.03778,362,366
1526,16-AA-0022,1,Kochergen Farms Composting,16,Kings,Kochergen Farms                         ,Avenal Cutoff Rd. and Omaha Ave.,Avenal                                  ,93239,County of Kings                         ,Kochergen Farms                         ,Composting,Composting Facility (Green Waste)  ,Permitted                          ,Active,36.08736,-120.07518999999999,1232,1246
1527,10-AA-0174,1,Kochergen Property Grease Trap Disposal,10,Fresno,Kochergen Properties,15485 West Republic Avenue,Huron                                   ,93234,County of Fresno                        ,Kochergen Properties,Disposal,Land Application                   ,Permitted                          ,Active,36.0905,-120.08718999999999,451,460
1530,10-AA-0192,1,KROEKER Recycling Facility,10,Fresno,"Kroeker, Inc.",4627 South Chestnut Avenue,Malaga                                  ,93725,County of Fresno                        ,"Kroeker, Edwin and Joyce",Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,36.665,-119.73700000000001,10480,10730
1532,16-AA-0015,1,KWRA Material Recovery Facility,16,Kings,Kings Waste & Recycling Authority,7803 Hanford-Armona Rd.,Hanford                                 ,93230,County of Kings                         ,Kings Waste & Recycling Authority,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,36.30571,-119.59903999999999,1227,1241
1534,34-AA-0020,1,L and D Landfill,34,Sacramento,"L and D Landfill, LP",8635 Fruitridge Road,Sacramento                              ,95826,County of Sacramento,Fruitridge Road Land Co,Disposal,Solid Waste Landfill,Permitted                          ,Active,38.528,-121.37799999999999,3134,3168
1535,34-AA-0020,2,L and D Landfill,34,Sacramento,"L and D Landfill, LP",8635 Fruitridge Road,Sacramento                              ,95826,County of Sacramento,Fruitridge Road Land Co,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,38.528,-121.37799999999999,3134,3169
1536,19-AA-0308,1,L.A County Dept. Public Works # 339 LVTS,19,Los Angeles,County of Los Angeles Dept. Public Works,29773 W Mulholland Highway,Cornell                                 ,91301,County of Los Angeles,County of Los Angeles Dept. Public Works,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.11255,-118.77434,1411,1439
1541,19-AA-0299,1,La Co Dept Public Wrks Roads Dept # 553,19,Los Angeles,"Los Angeles Co. Dpt. P.W., R.M.D.",17931 Sierra Hwy,Canyon Country (In Santa Clarita)       ,91387,County of Los Angeles,L.A. County Dept. Of Public Works       ,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.42502,-118.44978,1402,1430
1542,19-AA-0311,1,La Co Dept Public Wrks Roads Dept #551,19,Los Angeles,"L.A.Co. Dept. Of P.W., R.M.D.           ","4859 W, Ave L-12",Quartz Hill                             ,93536,County of Los Angeles,L.A. County Dept. Of Public Works       ,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.64926,-118.21595,1414,1442
1543,19-AA-0312,1,La Co Dept Public Wrks Roads Dept #552TS,19,Los Angeles,Los Angeles Co Public Works Road M. Div,45712 N Division St,Lancaster                               ,93535,County of Los Angeles,Los Angeles Co Dept. of Public Works,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.71358,-118.12988999999999,1415,1443
1544,19-AA-0313,1,La Co Dept Public Wrks Roads Dept #555TS,19,Los Angeles,"Los Angeles Co Dept. P.W., R.M.D.",17341 E Ave J,Lancaster                               ,93535,County of Los Angeles,L.A. County Dept. Of Public Works       ,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.6911,-118.81878,1416,1444
1545,19-AA-0301,1,La Co Dept Public Wrks Roads Dept #556,19,Los Angeles,"L.A. County Dpt. P.W., R.M.D.           ",27624 W Parker Rd,Castaic                                 ,91384,County of Los Angeles,L.A. County Dept. Of Public Works       ,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.48878,-118.6237,1404,1432
1546,19-AA-0314,1,La Co Dept Public Wrks Roads Dept #558TS,19,Los Angeles,"L.A. Co. Dpt. P.W., R.M.D.              ",8505 E Avenue T,Littlerock                              ,93543,County of Los Angeles,L.A. County Dept. Of Public Works       ,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.54368,-117.97858000000001,1417,1445
1547,19-AA-0310,1,"La Co Public Wrks, Roads Dept, #557",19,Los Angeles,"Los Angeles County Dept. Of P.W., R.M.D.",38126 Sierra Hwy,Palmdale                                ,93550,County of Los Angeles,L.A. County Dept. Of Public Works       ,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.57528,-118.11502,1413,1441
1551,19-AA-0306,1,LA County  Dept Public Wrks #436TS,19,Los Angeles,County of Los Angeles Dept. Public Works,3637 Winter Canyon Roadd.,Malibu                                  ,90265,County of Los Angeles,County of Los Angeles Dept. Public Works,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.038059999999994,-118.69945,1409,1437
1553,19-AA-0397,1,LA County Rd. Main. Div. #142 LVTO,19,Los Angeles,"County of Los Angeles Rd. Main, Div. 142",4304 Eugene Street,Los Angeles (County)                    ,90022,County of Los Angeles,County of Los Angeles Dept. Public Works,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.03792,-118.17351000000001,1425,1453
1554,19-AA-0309,1,LA County Rd. Maintenance Div. #241 LVTO,19,Los Angeles,County of Los Angeles Rd..Main. Div.,2120 East 90th Street,Los Angeles (County)                    ,90002,County of Los Angeles,County of Los Angeles Dept. Public Works,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.954809999999995,-118.234,1412,1440
1557,30-AB-0364,1,La Pata Avenue Greenwaste Facility,30,Orange,Tierra Verde Industries,31748 La Pata Avenue,San Juan Capistrano                     ,92675,County of Orange                        ,The San Juan Company,Composting,Composting Facility (Green Waste)  ,Permitted                          ,Active,33.504,-117.62175,2646,2677
1559,32-AA-0012,1,La Porte Transfer Station,32,Plumas,County Of Plumas,1 Mi S La Porte -Church/Portwine Road,La Porte                                ,95981,County of Plumas,"US Forest Svc-Plumas, Quincy Rd",Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,39.67927,-120.98138,2887,2920
1568,49-AA-0368,1,Laguna Subregional Compost Facility,49,Sonoma,City Of Santa Rosa Util Dept-Llano Dr   ,4310 Llano Road,Santa Rosa                              ,95472,County of Sonoma,City Of Santa Rosa Util Dept-Llano Dr   ,Composting,Biosolids Composting at POTWs,Notification                       ,Active,38.36777,-122.76833,4684,4759
1571,25-AA-0025,1,Lake City Transfer Station,25,Modoc,County Of Modoc Public Works Dept,"East Of Lake City, 4 Mi On Cty. Road 15",Lake City                               ,96130,County of Modoc,County Of Modoc Public Works Dept,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,41.63001,-120.13784,2435,2467
1572,17-AA-0015,1,"Lake County Waste Solutions,Inc.",17,Lake,"Lake County Waste Solutions, Inc.",230 Soda Bay Road,Lakeport                                ,95453,County of Lake                          ,"Yulupa Investement, LLC",Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,39.01226,-122.90238000000001,10621,10946
1577,45-AA-0012,1,Lakehead Transfer Station,45,Shasta,County Of Shasta Public Works Department,Lake Shore Drive,Lakehead                                ,96051,County of Shasta                        ,US Forest Svc-Shasta-Trinity Nat. Forest,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,40.89848,-122.38508,4423,4486
1580,37-AA-0974,1,Lakeside Land Company,37,San Diego,Lakeside Land Company,11611 Riverside Drive,Lakeside                                ,92040,County of San Diego                     ,Lakeside Land Company,Disposal,Inert Debris ENG Fill Operation,Notification                       ,Active,32.85944,-116.94474,11000,11505
1584,43-AN-0038,1,Lam Hauling Inc. Chipping and Grinding,43,Santa Clara,Lam Hauling Inc. DBA Leo Recycle,215 Leo Ave.,San Jose                                ,95112,City of San Jose                        ,Hung Nga Enterprises LLC,Composting,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active,37.31112,-121.86523999999999,11392,12000
1585,43-AN-0040,1,Lam Hauling Inc. Inert Debris Type A,43,Santa Clara,Lam Hauling Inc. DBA Leo Recycle,215 Leo Ave.,San Jose                                ,95112,City of San Jose                        ,Hung Nga Enterprises LLC,Transfer/Processing,Inert Debris Type A Proc. Operation,Notification                       ,Active,37.31112,-121.86523999999999,11407,12019
1586,43-AN-0039,1,Lam Hauling Inc. Small Volume C&D,43,Santa Clara,Lam Hauling Inc. DBA Leo Recycle,215 Leo Ave,San Jose                                ,95112,City of San Jose                        ,Hung Nga Enterprises LLC,Transfer/Processing,Small Vol CDI Debris Proc. Operation,Notification                       ,Active,37.31112,-121.86523999999999,11393,12001
1587,33-AA-0007,1,Lamb Canyon Sanitary Landfill,33,Riverside,County Of Riverside Waste Mgmt Dept,16411 State Hwy 79,Beaumont                                ,92223,County of Riverside,County Of Riverside Waste Mgmt Dept,Disposal,Solid Waste Landfill,Permitted                          ,Active,33.88389,-116.99722,2932,2964
1590,19-AA-0050,1,Lancaster Landfill and Recycling Center,19,Los Angeles,"Waste Management of California, Inc.",600 East Avenue `F`,Lancaster                               ,93535,County of Los Angeles,"Waste Management of California, Inc.",Disposal,Solid Waste Landfill,Permitted                          ,Active,34.7474,-118.1165,1379,1405
1591,19-AA-1124,1,Lancaster Reclaimable Anerobic Composter,19,Los Angeles,"Waste Management of California, Inc.",600 E. Avenue F,Lancaster                               ,93535,County of Los Angeles,"Waste Management of California, Inc.",Composting,Composting Operation (Research)    ,Notification                       ,Active,34.74707,-118.1198,11167,11706
1592,36-AA-0057,2,Landers Sanitary Landfill,36,San Bernardino,County of San Bernardino S.W. Mgt Div,59200 Winters Road,Landers                                 ,92285,County of San Bernardino                ,County of San Bernardino S.W. Mgt Div,Composting,Chipping and Grinding Activity Fac./ Op.,Permitted                          ,Active,34.237759999999994,-116.36983000000001,3356,11368
1593,36-AA-0057,1,Landers Sanitary Landfill,36,San Bernardino,County of San Bernardino S.W. Mgt Div,59200 Winters Road,Landers                                 ,92285,County of San Bernardino                ,County of San Bernardino S.W. Mgt Div,Disposal,Solid Waste Landfill,Permitted                          ,Active,34.237759999999994,-116.36983000000001,3356,3397
1597,37-AA-0903,1,Las Pulgas Landfill,37,San Diego,US Marine Corps-Camp Pendleton,1 Mi N Camp Pulgas Off Basilone Rd,Camp Pendleton (Mil Res)                ,92055,County of San Diego                     ,US Marine Corps-Camp Pendleton,Disposal,Solid Waste Landfill,Permitted                          ,Active,33.36444,-117.41921,3749,3791
1604,23-AA-0037,1,Laytonville Solid Waste Transfer & Re Ct,23,Mendocino,Solid Wastes Of Willits Inc,1825 Branscomb Road,Laytonville                             ,95454,County of Mendocino                     ,County Of Mendocino Solid Waste Division,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,39.67303,-123.50542,2293,2324
1611,15-AA-0302,2,Lebec Transfer Station,15,Kern,County of Kern Waste Management Dept.,300 Landfill Road,Lebec                                   ,93243,County of Kern,County of Kern Waste Management Dept.,Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,34.826679999999996,-118.88528000000001,982,10883
1612,15-AA-0388,1,Lebec Transfer Station composting Op.,15,Kern,County of Kern Waste Management Dept.,300 Landfill Road,Lebec                                   ,93243,County of Kern,County of Kern Waste Management Dept.,Composting,Composting Operation (Green Waste) ,Notification                       ,Active,34.8269,-118.88786999999999,10706,11087
1623,15-AA-0287,1,Liberty Composting Inc.,15,Kern,Liberty Composting Inc.,"12421 Holloway Rd., 9 Mi Ne Lost Hills",Lost Hills                              ,93249,County of Kern,Liberty Composting Inc.,Composting,Composting Facility (Other),Permitted                          ,Active,35.67333,-119.78783,975,987
1624,25-AA-0008,1,Likely Solid Waste Transfer Station,25,Modoc,County Of Modoc Public Works Dept,County Rd #64; 3 Mi E Of Likely,Likely                                  ,96116,County of Modoc,,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,41.2275,-120.435,2424,2456
1625,56-AA-0147,1,Limoneira / Agromin Ag. Composting Op.,56,Ventura,Calwood / Agromin,S.End Olive/Edwards Ranch Rd. via Hwy126,Santa Paula                             ,93060,County of Ventura,Limoneira Associates,Composting,Composting Operation (Ag),Notification                       ,Active,34.30185,-119.12558999999999,10563,10834
